13712,-301.09,60.98,-176.63,,197,0.197,-301.09,60.98,-176.63
13714,-29.87,-8.4,-201.16,,199,0.199,-29.87,-8.4,-201.16
13715,-80.33,-65.17,93.23,,200,0.2,-80.33,-65.17,93.23
13717,-10.95,60.98,-264.95,,202,0.202,-10.95,60.98,-264.95
13718,-212.79,-2.1,-107.94,,203,0.203,-212.79,-2.1,-107.94
13720,-477.7,-210.24,485.74,,205,0.205,-477.7,-210.24,485.74
13722,-187.56,-65.17,-53.97,,207,0.207,-187.56,-65.17,-53.97
13723,-80.33,-27.33,73.6,,208,0.208,-80.33,-27.33,73.6
13725,83.66,-103.02,-78.5,,210,0.21,83.66,-103.02,-78.5
13726,-48.8,-109.32,14.72,,211,0.211,-48.8,-109.32,14.72
13728,-206.48,-109.32,-9.81,,213,0.213,-206.48,-109.32,-9.81
13729,-326.32,-33.63,-171.72,,214,0.214,-326.32,-33.63,-171.72
13730,-10.95,-121.94,-623.12,,215,0.215,-10.95,-121.94,-623.12
13732,216.12,-197.63,-112.85,,217,0.217,216.12,-197.63,-112.85
13733,-143.41,48.36,480.83,,218,0.218,-143.41,48.36,480.83
13735,216.12,-576.08,-122.66,,220,0.22,216.12,-576.08,-122.66
13736,682.87,-349.01,98.13,,221,0.221,682.87,-349.01,98.13
13739,840.56,-128.25,14.72,,224,0.224,840.56,-128.25,14.72
13740,954.09,-576.08,-318.92,,225,0.225,954.09,-576.08,-318.92
13742,1099.16,-134.55,-122.66,,227,0.227,1099.16,-134.55,-122.66
13743,632.41,224.97,-78.5,,228,0.228,632.41,224.97,-78.5
13745,1193.77,-393.16,-367.98,,230,0.23,1193.77,-393.16,-367.98
13746,638.72,-121.94,-117.75,,231,0.231,638.72,-121.94,-117.75
13748,512.57,-33.63,-53.97,,233,0.233,512.57,-33.63,-53.97
13749,455.8,-2.1,-98.13,,234,0.234,455.8,-2.1,-98.13
13751,531.49,-191.32,-9.81,,236,0.236,531.49,-191.32,-9.81
13752,462.11,79.9,-196.26,,237,0.237,462.11,79.9,-196.26
13754,-48.8,-147.17,9.82,,239,0.239,-48.8,-147.17,9.82
13755,102.58,-241.78,186.45,,240,0.24,102.58,-241.78,186.45
13757,20.59,-90.4,456.3,,242,0.242,20.59,-90.4,456.3
13758,184.58,155.59,-426.86,,243,0.243,184.58,155.59,-426.86
13760,102.58,-229.17,235.51,,245,0.245,102.58,-229.17,235.51
13761,134.12,16.82,-93.22,,246,0.246,134.12,16.82,-93.22
13763,140.43,-166.09,0,,248,0.248,140.43,-166.09,0
13764,134.12,-2.1,-73.59,,249,0.249,134.12,-2.1,-73.59
13766,-17.26,-147.17,88.32,,251,0.251,-17.26,-147.17,88.32
13767,45.82,-115.63,127.57,,252,0.252,45.82,-115.63,127.57
13769,20.59,-121.94,-147.19,,254,0.254,20.59,-121.94,-147.19
13770,-23.57,-109.32,-29.44,,255,0.255,-23.57,-109.32,-29.44
13771,-61.41,-8.4,-78.5,,256,0.256,-61.41,-8.4,-78.5
13773,-80.33,-21.02,-88.31,,258,0.258,-80.33,-21.02,-88.31
13774,-156.02,-77.79,-78.5,,259,0.259,-156.02,-77.79,-78.5
13776,-156.02,-140.86,-83.41,,261,0.261,-156.02,-140.86,-83.41
13777,-143.41,35.75,-73.59,,262,0.262,-143.41,35.75,-73.59
13779,-200.18,-52.56,-88.31,,264,0.264,-200.18,-52.56,-88.31
